freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.988e+02,1.196e+02,1.383e+01,5.323e+02
1.5,3.483e+02,5.882e+02,7.473e+01,1.011e+03
3.1,1.929e+02,7.258e+02,8.919e+01,1.008e+03
4.6,5.446e+02,6.261e+02,9.053e+01,1.261e+03
6.2,1.380e+03,5.611e+02,9.251e+01,2.034e+03
7.7,1.426e+03,5.071e+02,8.562e+01,2.018e+03
9.3,1.864e+03,5.107e+02,8.764e+01,2.462e+03
10.8,2.678e+03,5.065e+02,8.218e+01,3.267e+03
12.3,3.630e+03,4.941e+02,8.411e+01,4.209e+03
13.9,4.700e+03,5.531e+02,8.060e+01,5.334e+03
15.4,5.953e+03,5.003e+02,7.649e+01,6.530e+03
17.0,7.348e+03,4.982e+02,7.765e+01,7.923e+03
18.5,8.647e+03,5.095e+02,7.860e+01,9.235e+03
20.1,9.738e+03,6.031e+02,8.905e+01,1.043e+04
21.6,1.092e+04,5.845e+02,8.666e+01,1.159e+04
23.2,1.291e+04,5.522e+02,8.435e+01,1.355e+04
24.7,1.577e+04,6.643e+02,9.875e+01,1.654e+04
26.2,1.882e+04,6.468e+02,9.423e+01,1.956e+04
27.8,2.225e+04,6.558e+02,9.409e+01,2.300e+04
29.3,2.492e+04,6.719e+02,1.020e+02,2.569e+04
30.9,2.710e+04,6.359e+02,9.816e+01,2.784e+04
32.4,2.993e+04,6.066e+02,9.210e+01,3.062e+04
34.0,3.369e+04,6.675e+02,1.009e+02,3.446e+04
35.5,3.746e+04,6.557e+02,9.766e+01,3.821e+04
37.0,4.124e+04,6.639e+02,9.636e+01,4.200e+04
38.6,4.529e+04,8.156e+02,1.017e+02,4.621e+04
40.1,4.967e+04,7.919e+02,8.529e+01,5.054e+04
41.7,5.597e+04,9.048e+02,9.992e+01,5.697e+04
43.2,6.203e+04,1.362e+03,1.126e+02,6.350e+04
44.8,6.890e+04,2.343e+03,1.359e+02,7.138e+04
46.3,7.757e+04,4.706e+03,2.402e+02,8.251e+04
47.8,8.507e+04,9.579e+03,5.540e+02,9.520e+04
49.4,9.085e+04,1.298e+04,8.580e+02,1.047e+05
50.9,1.008e+05,1.242e+04,9.294e+02,1.142e+05
52.5,1.152e+05,1.034e+04,8.033e+02,1.263e+05
54.0,1.322e+05,8.300e+03,6.821e+02,1.412e+05
55.6,1.494e+05,6.701e+03,6.361e+02,1.567e+05
57.1,1.630e+05,5.498e+03,6.086e+02,1.691e+05
58.7,1.857e+05,5.215e+03,6.146e+02,1.915e+05
60.2,2.230e+05,5.342e+03,6.906e+02,2.290e+05
61.7,2.669e+05,5.577e+03,7.357e+02,2.732e+05
63.3,3.199e+05,5.961e+03,8.690e+02,3.267e+05
64.8,3.736e+05,6.429e+03,1.055e+03,3.811e+05
66.4,4.278e+05,7.249e+03,1.276e+03,4.364e+05
67.9,5.156e+05,8.712e+03,1.508e+03,5.258e+05
69.5,6.315e+05,1.174e+04,1.859e+03,6.451e+05
71.0,7.163e+05,1.512e+04,2.326e+03,7.338e+05
72.5,7.829e+05,1.982e+04,3.120e+03,8.059e+05
74.1,8.621e+05,2.563e+04,5.237e+03,8.930e+05
75.6,9.612e+05,3.365e+04,9.927e+03,1.005e+06
77.2,1.061e+06,4.130e+04,1.404e+04,1.116e+06
78.7,1.102e+06,4.886e+04,1.597e+04,1.167e+06
80.3,1.090e+06,5.531e+04,1.638e+04,1.161e+06
81.8,1.014e+06,5.352e+04,1.445e+04,1.082e+06
83.3,9.231e+05,4.498e+04,1.243e+04,9.805e+05
84.9,8.749e+05,3.829e+04,1.149e+04,9.246e+05
86.4,8.292e+05,3.488e+04,1.039e+04,8.745e+05
88.0,7.662e+05,3.335e+04,8.774e+03,8.083e+05
89.5,7.096e+05,3.650e+04,6.922e+03,7.530e+05
91.1,6.662e+05,3.744e+04,5.732e+03,7.094e+05
92.6,6.351e+05,3.766e+04,4.398e+03,6.771e+05
94.2,6.159e+05,3.741e+04,3.375e+03,6.567e+05
95.7,5.973e+05,3.498e+04,2.685e+03,6.349e+05
97.2,5.820e+05,3.147e+04,2.846e+03,6.163e+05
98.8,5.628e+05,2.687e+04,4.453e+03,5.941e+05
100.3,5.174e+05,2.102e+04,6.537e+03,5.449e+05
