freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.912e+01,1.819e+02,2.935e+02,5.145e+02
1.5,1.032e+02,2.317e+02,2.932e+02,6.281e+02
3.1,1.118e+02,1.592e+02,1.860e+02,4.571e+02
4.6,9.628e+01,1.456e+02,5.593e+02,8.012e+02
6.2,9.056e+01,1.386e+02,1.619e+03,1.848e+03
7.7,9.565e+01,1.499e+02,1.680e+03,1.926e+03
9.3,1.190e+02,1.586e+02,1.577e+03,1.855e+03
10.8,1.141e+02,1.484e+02,2.239e+03,2.501e+03
12.3,1.025e+02,1.457e+02,3.075e+03,3.323e+03
13.9,1.069e+02,1.601e+02,4.022e+03,4.289e+03
15.4,1.090e+02,1.826e+02,5.097e+03,5.389e+03
17.0,8.880e+01,1.709e+02,6.313e+03,6.573e+03
18.5,9.566e+01,1.740e+02,7.670e+03,7.939e+03
20.1,1.221e+02,2.098e+02,9.225e+03,9.557e+03
21.6,1.167e+02,2.460e+02,1.115e+04,1.151e+04
23.2,1.113e+02,3.273e+02,1.355e+04,1.399e+04
24.7,1.068e+02,4.516e+02,1.656e+04,1.711e+04
26.2,1.176e+02,6.007e+02,2.018e+04,2.090e+04
27.8,1.345e+02,8.515e+02,2.327e+04,2.425e+04
29.3,1.441e+02,1.237e+03,2.621e+04,2.760e+04
30.9,1.764e+02,1.628e+03,2.882e+04,3.063e+04
32.4,2.061e+02,1.810e+03,3.078e+04,3.279e+04
34.0,2.175e+02,2.028e+03,3.329e+04,3.554e+04
35.5,2.157e+02,2.616e+03,3.732e+04,4.015e+04
37.0,2.198e+02,3.920e+03,4.218e+04,4.632e+04
38.6,2.396e+02,6.479e+03,4.789e+04,5.461e+04
40.1,2.592e+02,1.185e+04,5.536e+04,6.747e+04
41.7,2.860e+02,2.641e+04,6.657e+04,9.326e+04
43.2,3.708e+02,6.065e+04,7.243e+04,1.334e+05
44.8,4.501e+02,9.349e+04,6.284e+04,1.568e+05
46.3,5.434e+02,1.034e+05,5.558e+04,1.595e+05
47.9,6.170e+02,9.796e+04,5.330e+04,1.519e+05
49.4,7.086e+02,8.740e+04,5.280e+04,1.409e+05
50.9,8.377e+02,7.682e+04,5.571e+04,1.334e+05
52.5,9.972e+02,6.906e+04,6.251e+04,1.326e+05
54.0,1.206e+03,6.231e+04,7.142e+04,1.349e+05
55.6,1.489e+03,5.573e+04,8.068e+04,1.379e+05
57.1,1.762e+03,4.975e+04,9.103e+04,1.425e+05
58.7,2.031e+03,4.681e+04,1.085e+05,1.574e+05
60.2,2.489e+03,4.654e+04,1.354e+05,1.844e+05
61.7,3.119e+03,4.698e+04,1.699e+05,2.199e+05
63.3,4.036e+03,4.667e+04,2.105e+05,2.612e+05
64.8,5.419e+03,4.663e+04,2.684e+05,3.204e+05
66.4,6.880e+03,4.580e+04,3.380e+05,3.907e+05
67.9,9.384e+03,4.356e+04,4.288e+05,4.817e+05
69.5,1.396e+04,5.171e+04,6.063e+05,6.719e+05
71.0,1.829e+04,1.116e+05,7.982e+05,9.281e+05
72.5,2.018e+04,2.533e+05,8.466e+05,1.120e+06
74.1,1.948e+04,3.963e+05,8.028e+05,1.219e+06
75.6,1.806e+04,5.235e+05,7.767e+05,1.318e+06
77.2,1.794e+04,6.303e+05,7.917e+05,1.440e+06
78.7,1.853e+04,6.757e+05,7.861e+05,1.480e+06
80.3,1.906e+04,6.702e+05,7.477e+05,1.437e+06
81.8,2.123e+04,6.218e+05,6.952e+05,1.338e+06
83.4,2.466e+04,5.868e+05,6.554e+05,1.267e+06
84.9,2.846e+04,6.071e+05,6.409e+05,1.276e+06
86.4,3.032e+04,6.002e+05,6.050e+05,1.235e+06
88.0,2.992e+04,5.446e+05,5.423e+05,1.117e+06
89.5,2.949e+04,4.809e+05,4.850e+05,9.954e+05
91.1,2.944e+04,4.228e+05,4.397e+05,8.919e+05
92.6,3.051e+04,3.687e+05,3.969e+05,7.961e+05
94.2,3.350e+04,3.173e+05,3.532e+05,7.040e+05
95.7,3.647e+04,2.647e+05,3.075e+05,6.087e+05
97.2,3.916e+04,2.196e+05,2.725e+05,5.313e+05
98.8,4.363e+04,1.936e+05,2.583e+05,4.956e+05
100.3,5.228e+04,1.816e+05,2.565e+05,4.904e+05
101.9,5.996e+04,1.672e+05,2.470e+05,4.742e+05
103.4,5.205e+04,1.395e+05,2.137e+05,4.052e+05
105.0,3.650e+04,1.277e+05,2.050e+05,3.693e+05
106.5,5.401e+04,1.748e+05,3.080e+05,5.367e+05
108.0,8.694e+04,2.069e+05,3.914e+05,6.852e+05
109.6,1.001e+05,1.922e+05,3.877e+05,6.799e+05
111.1,1.111e+05,1.713e+05,3.706e+05,6.531e+05
112.7,1.219e+05,1.512e+05,3.545e+05,6.276e+05
114.2,1.309e+05,1.304e+05,3.358e+05,5.971e+05
115.8,1.387e+05,1.107e+05,3.201e+05,5.695e+05
117.3,1.398e+05,9.318e+04,3.080e+05,5.410e+05
118.9,1.313e+05,8.020e+04,2.937e+05,5.052e+05
120.4,1.190e+05,7.084e+04,2.820e+05,4.719e+05
121.9,1.027e+05,6.377e+04,2.735e+05,4.400e+05
123.5,8.619e+04,5.827e+04,2.675e+05,4.119e+05
125.0,7.299e+04,5.342e+04,2.621e+05,3.885e+05
126.6,6.265e+04,4.825e+04,2.556e+05,3.665e+05
128.1,5.621e+04,4.292e+04,2.465e+05,3.457e+05
129.7,5.668e+04,3.654e+04,2.272e+05,3.204e+05
131.2,6.172e+04,3.063e+04,2.034e+05,2.957e+05
132.7,4.585e+04,1.987e+04,1.303e+05,1.960e+05
134.3,7.946e+03,4.893e+03,2.129e+04,3.412e+04
135.8,1.654e+03,3.170e+03,3.579e+03,8.402e+03
137.4,1.797e+03,3.485e+03,2.894e+03,8.175e+03
138.9,2.115e+03,3.132e+03,2.369e+03,7.616e+03
140.5,2.752e+03,2.448e+03,2.240e+03,7.439e+03
142.0,3.434e+03,1.983e+03,2.226e+03,7.642e+03
143.6,4.404e+03,1.826e+03,2.200e+03,8.430e+03
145.1,4.959e+03,1.646e+03,2.192e+03,8.797e+03
146.6,6.059e+03,1.586e+03,2.279e+03,9.924e+03
148.2,7.854e+03,1.640e+03,2.464e+03,1.196e+04
149.7,9.343e+03,1.957e+03,2.784e+03,1.408e+04
151.3,1.008e+04,2.200e+03,2.775e+03,1.506e+04
152.8,6.636e+03,1.978e+03,2.518e+03,1.113e+04
154.4,3.666e+03,1.670e+03,2.447e+03,7.782e+03
155.9,3.614e+03,1.492e+03,2.409e+03,7.515e+03
